Arquivo de Áudio,Transcrição
audio_10879.wav,um país economicamente mais justo mas tem algum projeto que são ideias né
audio_1088.wav,[Erro] Não foi possível transcrever o áudio
audio_10880.wav,mais forte que existe nesse país entender que a classe trabalhadora
audio_10881.wav,[Erro] Não foi possível transcrever o áudio
audio_10882.wav,cumes
audio_10883.wav,criança separados dos pais a gente foi na Europa a crise dos refugiados a gente vê te
audio_10884.wav,maquinário agrícola por exemplo a partir dos bancos públicos é preciso ter
audio_10885.wav,[Erro] Não foi possível transcrever o áudio
audio_10886.wav,por favor deixa o Boris fazer a pergunta dele aí você
audio_10887.wav,de manhã de manhã
audio_10888.wav,[Erro] Não foi possível transcrever o áudio
audio_10889.wav,facilmente pudesse estar em outro partido agora mesmo disseram que ela tem 12
audio_10890.wav,[Erro] Não foi possível transcrever o áudio
audio_10891.wav,e a gente vai lá no bar Las Vegas mais calma a gente vai tranquilinho a gente primeiro
audio_10892.wav,1970 e 75 foi
audio_10893.wav,feito toda a relevância da minha pré-candidatura Mas o mais importante
audio_10894.wav,[Erro] Não foi possível transcrever o áudio
audio_10895.wav,[Erro] Não foi possível transcrever o áudio
audio_10896.wav,e tudo que envolve desentendimento
audio_10897.wav,tecido que faz com que uma terra tenha mais rica do
audio_10898.wav,quando a gente viu que lá nesse
audio_10899.wav,Tatá Werneck daqui 10 anos será
audio_109.wav,Ah eu vi assim
audio_1090.wav,cara olha eu
audio_10900.wav,ainda necessitamos com
audio_10901.wav,na visão do movimento
audio_10902.wav,funcionar no Brasil se quebrou e se fechou 4 milhões e
audio_10903.wav,teve um voto maior do que o espe
audio_10904.wav,sentido então
audio_10906.wav,isso é bom não sei
audio_10907.wav,eu quero que mais economiza
audio_10908.wav,você não sabe falar inglês tal não
audio_10909.wav,a única estratégia que eu me permito
audio_1091.wav,aí eu acho que são feridas que não devem mais
audio_10910.wav,[Erro] Não foi possível transcrever o áudio
audio_10911.wav,[Erro] Não foi possível transcrever o áudio
audio_10913.wav,e eu acho que essa
audio_10914.wav,[Erro] Não foi possível transcrever o áudio
audio_10915.wav,penso que esse companheiro é motorista de tá
audio_10916.wav,meteu um engano porque
audio_10917.wav,comecei
audio_10918.wav,a minha filha na creche todos os dias e milhares 70%
audio_10919.wav,[Erro] Não foi possível transcrever o áudio
audio_1092.wav,o único Deputado não foi comp
audio_10920.wav,Fábio pare de mentir
audio_10921.wav,Eles não estão ouvindo nada porque tem uma música muito alta muito horrível tocando e eles
audio_10922.wav,que uma diversidade de
audio_10923.wav,[Erro] Não foi possível transcrever o áudio
audio_10924.wav,você é um anjo na minha vida
audio_10925.wav,[Erro] Não foi possível transcrever o áudio
audio_10926.wav,metais
audio_10927.wav,ele é jornalista e você YouTube você é o quê eu sou
audio_10928.wav,imagens que existem
audio_10929.wav,Obrigado você foi meu
audio_1093.wav,um dos votos que foi por aclamação né todos foram aclamação
audio_10930.wav,que eu poderia aquisitivo caiu fragorosamente desde a primeira etapa
audio_10931.wav,representante esquadre que na sua grande maioria de um
audio_10932.wav,e eu tô vendo eu ando por esse
audio_10933.wav,do PT o horizonte socialista você
audio_10934.wav,feito com os 4.500 que a família
audio_10935.wav,aí não dá né
audio_10936.wav,Pedro grandioso movimento contra
audio_10937.wav,na população brasileira então eu gostaria de saber se você acredita que
audio_10939.wav,nós temos sol o ano inteiro
audio_1094.wav,[Erro] Não foi possível transcrever o áudio
audio_10940.wav,Rua de que você nunca tinha conseguido passar da página
audio_10941.wav,Liberdade do lado dele com fuzil ou com uma muleta e outra coisa pega
audio_10942.wav,eu acho que Olga Benário uma mulher que é referência de luta
audio_10943.wav,o racismo você impe
audio_10944.wav,um afrodescendente e um paraibano um trabalho humilde amb
audio_10945.wav,conversar nós conversamos com o Ciro que é meu querido amigo
audio_10946.wav,[Erro] Não foi possível transcrever o áudio
audio_10947.wav,estamos todos subordinados a mesma Constituição
audio_10949.wav,ideal para o maquinário agrícola não é
audio_1095.wav,[Erro] Não foi possível transcrever o áudio
audio_10950.wav,tá mexendo aqui a panela ela estica a Colher de Pau enrola
audio_10951.wav,esses dias na internet o Lula tinha lido não tinha lido 55 páginas
audio_10952.wav,eu até hoje eu não me reergui dessa viagem
audio_10953.wav,tem vagas os
audio_10954.wav,pesca mortal
audio_10955.wav,a esses benefícios
audio_10956.wav,interessa enfim de modificação
audio_10957.wav,[Erro] Não foi possível transcrever o áudio
audio_10958.wav,não é
audio_10959.wav,E por coincidência né o dono da fa
audio_1096.wav,candidato a presidente
audio_10960.wav,casaria com ele tango argentino ou o tango
audio_10962.wav,trabalhadores que
audio_10963.wav,da linha cute o que parece ser uma contradição porque essa Independência já deveria ter
audio_10964.wav,civil a ver alianças no Congresso Nacional eu tenho certeza que dentro do
audio_10965.wav,se vamos pensar só para pensar
audio_10966.wav,Alô você vai ser a mãe dos
audio_10967.wav,responsabilidade com que
audio_10968.wav,[Erro] Não foi possível transcrever o áudio
audio_10969.wav,vira a retratação quando tudo já acabou
audio_1097.wav,Diego mas não vai passar por vários motivos entre outros você
audio_10970.wav,Acorda vai já tem muita gente tentando puxar para o lado da direita
audio_10971.wav,o perfil
audio_10972.wav,quando o Felipe Melo não jogou eu fiquei seis jogos sem jogar perdeu
audio_10973.wav,o chefe tem que ter responsabilidade
audio_10974.wav,quando numa visita ele é o João Saad ele
audio_10976.wav,vá para o alto ele
audio_10977.wav,hoje eu ganho do sindicato 9.600 cruzados por mês possive
audio_10978.wav,É sim
audio_1098.wav,chocava todo mundo papai era
audio_10980.wav,vamos agora a pergunta feita
audio_10981.wav,1000 cruzados por mês entre salário benefício e tal vai receber
audio_10982.wav,[Erro] Não foi possível transcrever o áudio
audio_10984.wav,não sabia falar inglês direito ou e
audio_10985.wav,o Dilma Rousseff fazia o quê para estimular o seu
audio_10986.wav,entrevista dele dizendo que não tinha
audio_10987.wav,o comandante da missão
audio_10988.wav,traficante aí fala os negócio muito doido ali para justificar o milho queimado
audio_10989.wav,todo santo dia e
audio_1099.wav,eu disse que um caso como esse não aconteceria mais se o senhor fosse presidente
audio_10990.wav,Ana Amélia Senadora
audio_10991.wav,Siri é o chefe ele deve ter firmeza
audio_10992.wav,filósofo
audio_10993.wav,sua excelência o presidente do congresso
audio_10994.wav,[Erro] Não foi possível transcrever o áudio
audio_10996.wav,é igual o homem o neg
audio_10997.wav,sim uma coisa que eu confessei na segunda-feira quando tava começando
audio_10998.wav,[Erro] Não foi possível transcrever o áudio
audio_10999.wav,me diga que passagem mandei o Frei Beto
audio_11.wav,terra para esse homem que o senhor tá dando crédito tá dando assistência
audio_110.wav,a pergunta é o seguinte o homossexual vai
audio_1100.wav,que não há nenhum pai de família que gosta de
audio_11000.wav,[Erro] Não foi possível transcrever o áudio
audio_11002.wav,nesses 28 anos que que o senhor fez pelo Rio de Janeiro foi eleito pelo Rio de Janeiro
audio_11003.wav,Letícia sua manutenção não houve nenhum movimento desse tipo
audio_11004.wav,[Erro] Não foi possível transcrever o áudio
audio_11005.wav,uma pergunta aqui mudando de assunto
audio_11006.wav,para sair desse da rua né
audio_11007.wav,só mais uma música que esqueci dos meus 14 até o meus 17 anos de idade cara
audio_11009.wav,e o Valter depois das 3:00 você consegue consegue a preferência exame Então pronto depois o
audio_1101.wav,do Amilton que é o seguinte você falou há poucos dias
audio_11010.wav,americano vi uma latinha chorando e pensou eu vou eu nada tiro
audio_11011.wav,nunca ele ouvia de novo uma segunda vez a
audio_11012.wav,inocente seria um dirigente sindical ou
audio_11013.wav,ditadura na sociedade brasileira nós vamos lembrar inclusive que a dita
audio_11014.wav,média salarial tinha crescido e o motor ele tinha uma frase que era utilizado
audio_11015.wav,[Erro] Não foi possível transcrever o áudio
audio_11016.wav,foi de outros intelectuais mas não do part
audio_11017.wav,bom que tem uma diversidade política
audio_11018.wav,lá no corredor peguei o extintor
audio_11019.wav,de equipa
audio_1102.wav,as contas dele dizem que apenas tributar os ricos no Brasil Você falou numa entrevista
audio_11020.wav,verbo indenizatório
audio_11021.wav,ele foi vitimado
audio_11023.wav,bêbado ficou comigo sentado pessoal se esp
audio_11024.wav,Ou seja a famosa
audio_11025.wav,nós do partido dos trabalha
audio_11026.wav,como todo mundo foi para rua e disse que a Constituição
audio_11027.wav,que ele cagando o navio balançava ele
audio_11028.wav,o regime militar que foi implantado no Brasil se aproximou desse
audio_11029.wav,um concurso
audio_1103.wav,[Erro] Não foi possível transcrever o áudio
audio_11030.wav,tá com o Tarcísio do que com o atual Governador esses
audio_11031.wav,que todo mundo ia se aposentar só depois de morto por coincidência
audio_11032.wav,10
audio_11033.wav,[Erro] Não foi possível transcrever o áudio
audio_11035.wav,o senhor é ideologicamente se aproxima de
audio_11036.wav,gostava de ficar apenas funcional eu o Boris
audio_11037.wav,mulher toda mãe tem o direito de pensar
audio_11038.wav,O que é que deveria fazer a imprensa quando
audio_11039.wav,as pessoas podem ter os mesmos sonhos
audio_1104.wav,é a mesma coisa você vê um Coitadinho de um homem
audio_11040.wav,eu quero na mesma linha aqui
audio_11041.wav,que a política fez das
audio_11042.wav,São Paulo e defensa e Rússia exatamente
audio_11043.wav,pela pessoa então acho que é normal você acompanha a vida dela e essa sensação
audio_11044.wav,música que ele fez o que eu fazia ele pegou o papel e rasgou e jogou fora e eu falei não não
audio_11046.wav,puxar um pouco para esquerda mas se o objetivo maior é eleger o Lula
audio_11047.wav,ele já queria falar na
audio_11048.wav,se associaram ao bolsonarismo
audio_11049.wav,geral se manifestaram a favor do Plano Cruzado
audio_1105.wav,passa reforma tributária cobra impostos dos ricos pare de cobrar tanto o imposto dos po
audio_11050.wav,de diálogo o mundo precisa dia
audio_11051.wav,de socialismo comunismo é o mesmo que o PC do
audio_11052.wav,não apenas minha tá aqui no estúdio com
audio_11053.wav,sua do cobrar pedágio a gente levantar tá é a questão da Indústria
audio_11054.wav,Eu tentava explicar para ele mas ele não entendia muito bem e aí ontem ele nos relatou que
audio_11055.wav,no porto para as mulherzinhas normalmente são três hor
audio_11056.wav,não passe fome por causa da dívida externa é você
audio_11058.wav,acredito que isso aconteceu não tive oportunidade de assistir todos os
audio_1106.wav,fiscalizar
audio_11060.wav,do Neves foi eleito de forma democrática ou não por favor
audio_11061.wav,meu tio meu primo
audio_11062.wav,banheiras e
audio_11063.wav,Farmácia Brasil você tá falando da história do part
audio_11064.wav,[Erro] Não foi possível transcrever o áudio
audio_11065.wav,não tem resultado tem resultado naquilo que ele podia
audio_11066.wav,agora não tava no final já tinha tava
audio_11067.wav,parar que a Alemanha oriental Até hoje ainda tem que sofre os prejuízos
audio_11068.wav,eu estava na Paraíba com Julia Lemos
audio_11069.wav,[Erro] Não foi possível transcrever o áudio
audio_1107.wav,tem algum aspecto que você acha que serve de modelo para o Brasil de alguma forma
audio_11070.wav,o senhor indicou que é cogitaria
audio_11071.wav,Cuidado para construir o seu show com a história do Maicon
audio_11072.wav,encerado de novo querendo apresentar uma proposta
audio_11073.wav,os 30 matar 30
audio_11074.wav,completa completa Mas fiquei com a se
audio_11075.wav,eleições diretas quer dizer não há dúvida eu acho que eu tenho que ir em defesa dele
audio_11076.wav,para diminuir a produção problema de Autopeça vai ter desemprego
audio_11077.wav,[Erro] Não foi possível transcrever o áudio
audio_11078.wav,[Erro] Não foi possível transcrever o áudio
audio_11079.wav,olha olha só
audio_1108.wav,não é melhor que delegado todos
audio_11080.wav,e eu conheço
audio_11081.wav,e que
audio_11083.wav,[Erro] Não foi possível transcrever o áudio
audio_11084.wav,as grandes empresas dos grandes fazendeiros
audio_11085.wav,[Erro] Não foi possível transcrever o áudio
audio_11086.wav,estabelecido
audio_11087.wav,passou em cima do setor mais Progressista do PMDB você
audio_11088.wav,[Erro] Não foi possível transcrever o áudio
audio_11089.wav,eu ente
audio_1109.wav,antes durante e depois vai ser tratado com todos os direitos
audio_11090.wav,em São Paulo esse discurso que foi feito
audio_11091.wav,que jogue pesado na questão da segurança
audio_11092.wav,[Erro] Não foi possível transcrever o áudio
audio_11095.wav,eu acho que você entrou em contradição por quê Porque eu tenho que fazer um link querida
audio_11096.wav,da margem de dinheiro então pode ter mais espaço para crescer mas a gente ainda não teve uma
audio_11097.wav,é a mulher foram
audio_11099.wav,Eu não creio que para ser atingido
audio_111.wav,ela trocando um pouco mudando um pouco de
audio_1110.wav,vem para
audio_11100.wav,confirmar o seguinte o jornal O Globo no dia 12 de maio publicou uma expressão atribuída ao Senhor eu gostaria
audio_11101.wav,surdo eu sou um fragmento
audio_11102.wav,os trabalhadores brasileiros tenham direito mas
audio_11103.wav,de Segunda instância por to
audio_11104.wav,certeza que a questão da reforma agrária são coisas que
audio_11105.wav,cara diz o seguinte eu não gosto dessa maneira
audio_11106.wav,um
audio_11107.wav,Qual é o tamanho do
audio_11108.wav,parte do preconceito da violência etc mais que acredita prioriza na
audio_1111.wav,o Lula ganhou o Haddad ganhou o Márcio França ganhou e aonde veio
audio_11110.wav,[Erro] Não foi possível transcrever o áudio
audio_11111.wav,por parte do governo militares um governo civil jamais
audio_11112.wav,candidatura nós do PC do B fazemos um conjunto de movimento le
audio_11113.wav,e ela falou
audio_11114.wav,[Erro] Não foi possível transcrever o áudio
audio_11115.wav,todos os dias dos jornais da 856 eu terei um minuto para expor eu
audio_11116.wav,para agenda da Faria Lima para poder
audio_11117.wav,coberta né Ele disse para mim que pediu
audio_11118.wav,social também esteja nesses espaços
audio_11119.wav,democracia mascarada o povo não tem informação é
audio_1112.wav,Ah tá querida eu falei ué eu fui lá não vi nada
audio_11120.wav,você
audio_11121.wav,mesmo que esse homem tava dando em cima dela e ela falou imagina era só um bom Senhor
audio_11122.wav,e que
audio_11123.wav,tava em jogo nessa eleição porque não é só conflitos com Supremo Bela
audio_11125.wav,vai ele provavelmente não vai lembrar dessa história
audio_11126.wav,ponto 9% de taxa de juros
audio_11127.wav,não vou cair nessa pilha
audio_11128.wav,do ponto de vista
audio_11129.wav,deveriam abrir mão de alguma coisa
audio_1113.wav,o Sérgio Porto que é um Liberal tem alguns estu
audio_11130.wav,aqueles que tem empresa prestigia e ela diz que tem experiência política como
audio_11131.wav,ele fez milhões
audio_11132.wav,o fim da obrigatoriedade da gravata no congre
audio_11133.wav,estamos de volta ao vivo para
audio_11134.wav,entrevista com o candidato do psl
audio_11135.wav,faz isso em países que são altamente industrializados que já
audio_11136.wav,líderes dos outros partidos sobretudo dos partidos de oposição ferre
audio_11137.wav,[Erro] Não foi possível transcrever o áudio
audio_11138.wav,eu acho que ele desligou Essa é pica essa aí essa aí
audio_11139.wav,chamada revolução por ele movimento
audio_1114.wav,2005 o povo decidiu
audio_11141.wav,trump sofreu muito com isso uns fake News sobre
audio_11142.wav,eu falei
audio_11143.wav,de prefeito Suplicy eram Suplicy com problemas inclusive
audio_11144.wav,partido dos trabalhadores você existem
audio_11145.wav,E era uma coisa que que eu lembro que a gente quando é artista a gente tem
audio_11146.wav,vem falando e
audio_11147.wav,conversar com diretores dos meios de
audio_11148.wav,ela tem que nesse caso defender
audio_11149.wav,sua votação se dá se de
audio_1115.wav,de que os motivos do um dos motivos pelos quais não conhece
audio_11150.wav,é então para mim me indigna igualmente qualquer cena de violação de direitos humanos mas
audio_11151.wav,complicado isso de setores sim porque o juiz não é Deus
audio_11152.wav,[Erro] Não foi possível transcrever o áudio
audio_11153.wav,inteligente
audio_11154.wav,Mundial da Saúde Reco
audio_11155.wav,é calote ou é inflação
audio_11156.wav,[Erro] Não foi possível transcrever o áudio
audio_11157.wav,quero saber eu quero saber
audio_11158.wav,caminho para sim mas é que eu quero Vera que a gente não passe todo ano punindo eu quero que
audio_11159.wav,essa celebração do amor
audio_1116.wav,tem caracteriza Linha Verde ditadura
audio_11160.wav,saudável que tem uma série de doenças venéreas que a gente acaba
audio_11161.wav,portão da Ford também foi violado por um caminhão
audio_11162.wav,último congresso quando decidi 2014 disputar as
audio_11163.wav,[Erro] Não foi possível transcrever o áudio
audio_11164.wav,contrário que isso coloca
audio_11165.wav,E permitir que a sociedade tem acesso aos arquivos da ditadura
audio_11166.wav,tabela da revista Veja quando você afirmava que se
audio_11167.wav,você não vai matar
audio_11168.wav,para o dia seguinte amanhã a gente se fala
audio_11169.wav,Direitos Humanos ou será que direito humano é uma moeda de troca e quando quando a ideologia está
audio_11170.wav,e temos
audio_11171.wav,para suas entidades
audio_11172.wav,aí o homem falou operador
audio_11173.wav,uma parte dos
audio_11174.wav,mais um é mais fácil vencer a eleição Esse é o esforço que nós
audio_11175.wav,e eu peguei um Atlas ali do do e vi que a expectativa de vida
audio_11177.wav,reabriu o caso Vladimir
audio_11178.wav,para esquerda para o
audio_11179.wav,atrasadas ideias
audio_11180.wav,O que é
audio_11181.wav,[Erro] Não foi possível transcrever o áudio
audio_11182.wav,mas era
audio_11183.wav,exigido quer dizer o mínimo que o senhor não adotaria
audio_11184.wav,nenhuma uma
audio_11186.wav,povo de verdade fiscalizar o estado os
audio_11187.wav,eu não sou dirigente Estadual veja só quero pedir até perdão
audio_11188.wav,te acho muito importante que a gente não deixe se levar pelo medo
audio_11189.wav,[Erro] Não foi possível transcrever o áudio
audio_1119.wav,[Erro] Não foi possível transcrever o áudio
audio_11190.wav,Vasco movimento sindica
audio_11191.wav,balada já tem o japonês já tá mas como quando o filme
audio_11192.wav,Deputado vamos por ali para ta
audio_11193.wav,r$ 100 de caixinha minha alegria era vir para o Rio e curtir
audio_11194.wav,[Erro] Não foi possível transcrever o áudio
audio_11196.wav,dos candidatos da empresa
audio_11197.wav,Cândida
audio_11198.wav,é uma quando você dá porrada dá porrada
audio_11199.wav,[Erro] Não foi possível transcrever o áudio
audio_112.wav,Eu concordo com você falou Exatamente porque
audio_1120.wav,60.000 era um
audio_11200.wav,essa anestesia ocorre todas
audio_11201.wav,dá emprego para essas pessoas
audio_11202.wav,a caracterizar
audio_11203.wav,dessa denúncia no Supremo Tribu
audio_11204.wav,então eu não acredito que seria
audio_11205.wav,sobrinhos mais jovens que chegou
audio_11206.wav,perdeu a Giovana Machado volta o Gabriel
audio_11207.wav,900 bilhões
audio_11208.wav,minha companheira minha parceira a pessoa que acreditou em mim que Constru
audio_11209.wav,18 milhões de quilômetros quadrados hoje
audio_1121.wav,a palavra então
audio_11210.wav,opinião sobre
audio_11211.wav,pretende propor para que esses problemas
audio_11212.wav,o espírito do bolsonarismo é
audio_11213.wav,tanto o nosso projeto que é o projeto que eu represento
audio_11214.wav,o processo de la
audio_11215.wav,antecedentes fazer alguma coisa você não promoveu leu o capitão não promoveu um negro
audio_11216.wav,da empresa denunciou muito dele verdadeiro
audio_11217.wav,explicar mas ele tinha um feeling é porque música é isso a
audio_11218.wav,o que acontece lá na Rocinha o pessoal fugiu para o alto do morro
audio_11219.wav,[Erro] Não foi possível transcrever o áudio
audio_1122.wav,que país Isso é para o futuro desse país
audio_11220.wav,[Erro] Não foi possível transcrever o áudio
audio_11221.wav,tem muito bom
audio_11223.wav,contra a população brasileira nos
audio_11224.wav,tem trabalhador ativista dentro da fábrica tenho que ser manda
audio_11225.wav,ele não é 50 milhões de brasileiros bolsonaro não raiz aliás segundo
audio_11226.wav,menos respeitam
audio_11227.wav,já falou e reiterou que não
audio_11228.wav,cadeiras
audio_11229.wav,do ponto de vista
audio_1123.wav,ela me falou Qual era ela falou eu queria
audio_11230.wav,cidade brasileira
audio_11231.wav,Cruzeiro não vai se não tiver o lençol foi
audio_11232.wav,tu é o Maicon então
audio_11233.wav,consiga explicar um pouco melhor fez mais sentido ele bê
audio_11234.wav,e se tornasse governo agora encontrando essa situação
audio_11235.wav,começar a cair muito nas pesquisas do pneu pública
audio_11236.wav,é o homem que defende um processo neoliberal
audio_11237.wav,do mundo
audio_11238.wav,e é natural que os pontos de vista
audio_11239.wav,ficaram no PSOL
audio_1124.wav,bêbado
audio_11240.wav,[Erro] Não foi possível transcrever o áudio
audio_11242.wav,você não tem que pagar antes
audio_11243.wav,eu acho que a gente não teria jamais jamais
audio_11244.wav,o Edi tá triste o animal tá tá
audio_11245.wav,[Erro] Não foi possível transcrever o áudio
audio_11246.wav,China Sou eu então falta é Zelo com a coisa pública
audio_11247.wav,aí gostava de sair com os amigos se divert
audio_11248.wav,acabaram com minha casa minha vida
audio_11249.wav,É pô é bom
audio_1125.wav,pensa que é o seguinte o vereador é bem possível que eu tenha cometido
audio_11250.wav,vai responder ele por favor dever-se
audio_11251.wav,Nessa altura você deve ter uma estratégia de atuação
audio_11252.wav,de comportamento não sei ver o que foi eu não vi
audio_11253.wav,Penha Rio Grande do Sul é responsável por
audio_11254.wav,as quais não
audio_11255.wav,Associação porque
audio_11257.wav,Unidas acontece que você poderia
audio_11258.wav,sem você dialoga você é oposição tem alguém que tá querendo
audio_11259.wav,de longe não
audio_1126.wav,privilégios dos políticos
audio_11260.wav,essa rivalidade entre
audio_11261.wav,como entender completamente sabe
audio_11262.wav,são quatro pré-candidaturas que estão colocadas é a
audio_11263.wav,isso é ruim isso não é um bom caminho para disputar votos para disputar
audio_11264.wav,homofóbico misógino
audio_11265.wav,vaquinha para poder
audio_11266.wav,Brasil porque nós acreditamos que vamos construir o socialismo com a cara do nosso país como
audio_11267.wav,os lugares mais lindos que já fui na minha vida não
audio_11268.wav,conhece fechou o porto porque era a pandemia
audio_11269.wav,brigou com o dono da bola é Exatamente exatamente
audio_1127.wav,faço ideia do que seja uma outra vez você não seja bem
audio_11270.wav,sou um homem muito contundente e muito crítico a diversos setores da sociedade
audio_11271.wav,lá no movimento estudantil na política porque eu
audio_11272.wav,14 anos 10 anos
audio_11273.wav,eles financiaram um apartamento em 30 anos tem o seu imóvel estar
audio_11274.wav,caramba bom
audio_11275.wav,mais à esquerda da Coligação de Lula
audio_11276.wav,liderança com você
audio_11277.wav,maciçamente no governo e evidentemente foi
audio_11278.wav,não sei quem é
audio_11279.wav,pacto da campanha Nacional aqui
audio_1128.wav,XT ex-ministro da justiça José Gregório
audio_11280.wav,nasci
audio_11281.wav,sociais desse país se houvesse à disposição você pode estar certo que nós esta
audio_11282.wav,porque era de esquerda ou seja
audio_11283.wav,digitador faz assim para o portão 9 é aqui é por aqui é por aqui
audio_11284.wav,eu espero que que o Supremo dê cabo
audio_11285.wav,agora a consultoria
audio_11286.wav,plantados enfim eu quero saber
audio_11287.wav,previsão de textos bíblicos estou falando de ciência a uma hora de todos os impulsos
audio_11288.wav,brasileira
audio_1129.wav,tem como jornalista sabe perfeitamente bem de
audio_11290.wav,está colocada quem quiser vir sabe
audio_11291.wav,estádio do eleitorado
audio_11292.wav,desenvolvimento aconteça do ponto de vista de como garantir que o nosso povo vive
audio_11293.wav,tá aí tipo eu não
audio_11294.wav,mas não poderia ser um aceno já ao centro
audio_11295.wav,rapaziada
audio_11296.wav,filme de vida A ou B
audio_11297.wav,comino carta UV foro Jacob tá a janta já faz uns dois
audio_11298.wav,numa reta final tava muito a cobrança assim não vamos dar carta
audio_11299.wav,Tauá até para olhar essa a questão de
audio_113.wav,aí eu falei me dá dois minutos eu já voltei já tô com as passagens de todo mundo já tem o seu passado
audio_1130.wav,para você dá empresa também é imoral também
audio_11300.wav,tempo por que que eu imagino por que que eu
audio_11301.wav,pelado pode fazer de
audio_11302.wav,interpretei o que você disse na derro
audio_11303.wav,Para de mentir quando se
audio_11304.wav,de um lado você tem algumas liderança
audio_11305.wav,é um compromisso ético e político determinante e não acho
audio_11306.wav,deixa um filé para proteger o quê co
audio_11307.wav,que sabem que essa sub representação na política uma política tão diferente
audio_11308.wav,apenas sobre proteção social moradia e educação
audio_11309.wav,Ligar para Natalie
audio_1131.wav,os 20 depois
audio_11310.wav,bacana uma história do adolescente
audio_11311.wav,antes da República mais poderoso do que o que sempre tivemos não porque os nossos
audio_11312.wav,superior e mesmo de valorização do ensino básico
audio_11313.wav,público essa coisa Maria Cristina
audio_11314.wav,não existia a
audio_11315.wav,som dele vai parar está parando
audio_11316.wav,vou fazer o quê Você conhece de Segurança Pública se é abordado por um assaltante
audio_11317.wav,[Erro] Não foi possível transcrever o áudio
audio_11318.wav,quem
audio_11319.wav,Mas também se faz
audio_1132.wav,[Erro] Não foi possível transcrever o áudio
audio_11321.wav,tá postando aqui já disse várias
audio_11322.wav,público não é porque a gente tem
audio_11323.wav,check-in porque eu tava bêbado tava com medo dele eles não deixaram eu embarcar aí em Los Angeles
audio_11325.wav,Democrata Mas jamais desistiu alguém mais democrático do que eu para colocar uma assembleia
audio_11326.wav,Cervejaria lei da ficha limpa
audio_11327.wav,perdoe-me
audio_11328.wav,agora me acorda daquilo que não fiz
audio_11329.wav,fazer o defendo que nós priorizamos
audio_1133.wav,252526525
audio_11330.wav,ela é importante do seu ponto de vista mas a pergunta
audio_11331.wav,os mais pobres porque não é justo o sistema tributário brasileiro
audio_11332.wav,suprir digamos a categoria
audio_11333.wav,[Erro] Não foi possível transcrever o áudio
audio_11334.wav,né
audio_11335.wav,tento previsto na Constituição a maior parte dos Estados
audio_11336.wav,a reposição salarial ninguém acreditava que pu
audio_11337.wav,se você pensar o que que
audio_11338.wav,casal tivesse
audio_11339.wav,mil razão
audio_1134.wav,nem através do Congresso Nacional agora na eleição
audio_11340.wav,gosta
audio_11341.wav,tiveram um ambiente que eu queira ser cortejada bonita
audio_11342.wav,quando for irrefragável a tese que existe
audio_11343.wav,ainda não defini isso
audio_11344.wav,[Erro] Não foi possível transcrever o áudio
audio_11346.wav,turno o Lula faça
audio_11347.wav,causada por que tinha Te perguntaram os jogos do Brasil
audio_11348.wav,porque entende que ele vai seguir
audio_11349.wav,incrível e aí me conta
audio_1135.wav,o máximo que ele conseguiu dizer foi isso
audio_11350.wav,então
audio_11351.wav,não queriam que ela fosse dessa forma queria que fosse mais restritiva
audio_11352.wav,Será que a discussão não leva nada porque a construção
audio_11353.wav,largo o barco do Fábio vive essa Samurais
audio_11354.wav,que é igual ao gasto ali de casa né quando a gente gasta em
audio_11356.wav,mas a pessoa que tem o santo forte Ela não atira ela
audio_11357.wav,ter feito as críticas ao pacote econômico
audio_11358.wav,e para participar desse Roda Viva esta noite
audio_11359.wav,você tem que entrar
audio_1136.wav,bolsonaro Aliados e ex-ministros conseguiram votações
audio_11360.wav,intimidade os dois eu posso tratar de uma
audio_11361.wav,não fez nada
audio_11362.wav,para quem não sabe o que é uma mangueira eu fico pelado de ônibus esportivo
audio_11363.wav,o diálogo é parte do exercício da política dialogar
audio_11364.wav,e do que está em jogo na história do Brasil é elegeu o
audio_11365.wav,curso era só do TV veja que engraçado e os deputados federais
audio_11366.wav,diferenças populares
audio_11367.wav,[Erro] Não foi possível transcrever o áudio
audio_11368.wav,eu disse isso
audio_11369.wav,as pesquisas diziam a minha hipótese é
audio_1137.wav,é meu pai né meu pai foi 10 história do Brasil
audio_11370.wav,tá na cara que ali nasceu
audio_11371.wav,que o senhor mudou em relação a essas opiniões mais extre
audio_11372.wav,estratégia do governo Lula
audio_11373.wav,se discutir isso também diante
audio_11374.wav,conjunto da sociedade que assista isso vai conseguindo a separar o
audio_11375.wav,[Erro] Não foi possível transcrever o áudio
audio_11376.wav,4 milhões de dólares é
audio_11377.wav,Ou eles não tem nenhuma contribuição a dar
audio_11378.wav,contribuir queda não existe
audio_11379.wav,vivendo angústias horríveis aqui
audio_11380.wav,de ter uma alma bonita o coração bom
audio_11382.wav,conjunto de candidaturas de ultradireita e de direita
audio_11383.wav,maior no debate público
audio_11384.wav,[Erro] Não foi possível transcrever o áudio
audio_11385.wav,até que tem que entregar tudo para os cara Os cara tão matando Independente de reagir
audio_11386.wav,soltar pitbull é muito fácil
audio_11387.wav,fazer trança enraizada botar tiara acho que vou marcar de puxar
audio_11388.wav,eu passei para reserva então eu sou um capitão da reserva
audio_11389.wav,casado e o argumentação da sala Raquel Doge
audio_1139.wav,preparar por aqui
audio_11391.wav,Capitão tava muito tranquilo o capitão tava Brasil ele é
